,Darcy Flow-64,Darcy Flow-32,Darcy Flow-16,Darcy Flow-12,Helmholtz-64,Helmholtz-32,Helmholtz-16,Helmholtz-12,SHM-64,SHM-32,SHM-16,SHM-12
SSIM,0.23274315475398208,0.15801063258293072,0.22539509932227123,0.1389630729474045,0.5049162947335961,0.522845189251125,0.3595849756966576,0.6654922090299992,0.1351949394319951,0.05445142283623277,0.02640607878824951,0.09045472883281577
RMSE,0.08666016409330457,0.056630047273127836,0.07020432296858437,0.0582070597978966,0.42854324690292067,0.4000396612694568,0.5298641039656019,0.3003108458963596,0.8734008264945493,1.0573343974860354,0.9977277963303546,0.9964995273566373
